dataset_id,release_scope,raw_task,raw_unit,raw_label,verified_source_fact,proposed_shared_binary_target,binary_mapping_status,proposed_four_overlay_target,four_mapping_status,dataset_specific_target,default_mask_policy,alternative,decision_owner,implementation_gate
icbhi_2017,official_2017,cycle_4class,respiratory_cycle,normal,"crackle=0 and wheeze=0",normal,exact,normal,exact,cycle_4class.normal,include,none,Data Aggregation,ready_after_schema_approval
icbhi_2017,official_2017,cycle_4class,respiratory_cycle,crackle,"crackle=1 and wheeze=0",abnormal,exact,crackle,exact,cycle_4class.crackle,include,none,Data Aggregation,ready_after_schema_approval
icbhi_2017,official_2017,cycle_4class,respiratory_cycle,wheeze,"crackle=0 and wheeze=1",abnormal,exact,wheeze,exact,cycle_4class.wheeze,include,none,Data Aggregation,ready_after_schema_approval
icbhi_2017,official_2017,cycle_4class,respiratory_cycle,both,"crackle=1 and wheeze=1",abnormal,exact,both,exact,cycle_4class.both,include,none,Data Aggregation,ready_after_schema_approval
hf_lung_v1,gitlab_release_2022_01_18,interval_detection,label_interval,I,Inhalation phase interval,not_applicable,not_applicable,not_applicable,not_applicable,phase_interval.I,dataset_specific_only,"Use for multi-task phase head",Jingping and Data Aggregation,ready_dataset_specific_only
hf_lung_v1,gitlab_release_2022_01_18,interval_detection,label_interval,E,Exhalation phase interval,not_applicable,not_applicable,not_applicable,not_applicable,phase_interval.E,dataset_specific_only,"Use for multi-task phase head",Jingping and Data Aggregation,ready_dataset_specific_only
hf_lung_v1,gitlab_release_2022_01_18,interval_detection,label_interval,D,Discontinuous adventitious sound; README says crackles,abnormal,exact,crackle,exact,adventitious_interval.D,include,"Keep raw D token alongside overlay",Data Aggregation,ready_after_schema_approval
hf_lung_v1,gitlab_release_2022_01_18,interval_detection,label_interval,Wheeze,Continuous adventitious subtype,abnormal,exact,wheeze,exact,adventitious_interval.Wheeze,include,none,Data Aggregation,ready_after_schema_approval
hf_lung_v1,gitlab_release_2022_01_18,interval_detection,label_interval,Rhonchi,Continuous adventitious subtype,abnormal,exact,other_abnormal,lossy,adventitious_interval.Rhonchi,include_other_abnormal,"Exclude from four-class overlay",Jingping,blocked_other_abnormal_policy
hf_lung_v1,gitlab_release_2022_01_18,interval_detection,label_interval,Stridor,Continuous adventitious subtype,abnormal,exact,other_abnormal,lossy,adventitious_interval.Stridor,include_other_abnormal,"Exclude from four-class overlay",Jingping,blocked_other_abnormal_policy
hf_lung_v1,gitlab_release_2022_01_18,shared_binary,label_interval,unlabeled_background,No source annotation establishing normal sound,null,blocked,null,blocked,none,exclude,"Treat as normal only after protocol validation",Jingping and Project Management,blocked_hf_negative_policy
sprsound,biocas2022_commit_874eeb8736ddb78937c2fb5332fc7e7293d0f0ca,event_7class,respiratory_event,Normal,Explicit event annotation,normal,exact,normal,exact,event_7class.Normal,include,none,Data Aggregation,ready_after_schema_approval
sprsound,biocas2022_commit_874eeb8736ddb78937c2fb5332fc7e7293d0f0ca,event_7class,respiratory_event,Fine Crackle,Explicit event annotation,abnormal,exact,crackle,exact,event_7class.Fine_Crackle,include,"Keep fine/coarse distinction in dataset head",Data Aggregation,ready_after_schema_approval
sprsound,biocas2022_commit_874eeb8736ddb78937c2fb5332fc7e7293d0f0ca,event_7class,respiratory_event,Coarse Crackle,Explicit event annotation,abnormal,exact,crackle,exact,event_7class.Coarse_Crackle,include,"Keep fine/coarse distinction in dataset head",Data Aggregation,ready_after_schema_approval
sprsound,biocas2022_commit_874eeb8736ddb78937c2fb5332fc7e7293d0f0ca,event_7class,respiratory_event,Wheeze,Explicit event annotation,abnormal,exact,wheeze,exact,event_7class.Wheeze,include,none,Data Aggregation,ready_after_schema_approval
sprsound,biocas2022_commit_874eeb8736ddb78937c2fb5332fc7e7293d0f0ca,event_7class,respiratory_event,Wheeze+Crackle,Explicit event annotation,abnormal,exact,both,exact,event_7class.Wheeze_Crackle,include,none,Data Aggregation,ready_after_schema_approval
sprsound,biocas2022_commit_874eeb8736ddb78937c2fb5332fc7e7293d0f0ca,event_7class,respiratory_event,Rhonchi,Explicit event annotation,abnormal,exact,other_abnormal,lossy,event_7class.Rhonchi,include_other_abnormal,"Exclude from four-class overlay",Jingping,blocked_other_abnormal_policy
sprsound,biocas2022_commit_874eeb8736ddb78937c2fb5332fc7e7293d0f0ca,event_7class,respiratory_event,Stridor,Explicit event annotation,abnormal,exact,other_abnormal,lossy,event_7class.Stridor,include_other_abnormal,"Exclude from four-class overlay",Jingping,blocked_other_abnormal_policy
sprsound,biocas2022_commit_874eeb8736ddb78937c2fb5332fc7e7293d0f0ca,record_5class,recording,Normal,Explicit whole-record annotation,normal,exact,normal,lossy,record_5class.Normal,include,"Do not compare directly with event-unit metrics",Data Aggregation,ready_after_schema_approval
sprsound,biocas2022_commit_874eeb8736ddb78937c2fb5332fc7e7293d0f0ca,record_5class,recording,CAS,Continuous adventitious sounds at recording level,abnormal,exact,other_abnormal,lossy,record_5class.CAS,include_binary_only,"Do not assume CAS equals wheeze",Jingping,ready_binary_blocked_four
sprsound,biocas2022_commit_874eeb8736ddb78937c2fb5332fc7e7293d0f0ca,record_5class,recording,DAS,Discontinuous adventitious sounds at recording level,abnormal,exact,crackle,lossy,record_5class.DAS,include_binary_only,"Use only event labels for exact crackle overlay",Jingping,ready_binary_blocked_four
sprsound,biocas2022_commit_874eeb8736ddb78937c2fb5332fc7e7293d0f0ca,record_5class,recording,CAS & DAS,Both continuous and discontinuous sounds at recording level,abnormal,exact,both,lossy,record_5class.CAS_DAS,include_binary_only,"Use only event labels for exact both overlay",Jingping,ready_binary_blocked_four
sprsound,biocas2022_commit_874eeb8736ddb78937c2fb5332fc7e7293d0f0ca,record_5class,recording,Poor Quality,Signal-quality class rather than pathology,null,not_applicable,null,not_applicable,record_5class.Poor_Quality,exclude_shared_tasks,"Treat as dataset-specific class or QC exclusion",Jingping,blocked_poor_quality_policy
kauh_fraiwan,mendeley_v3,record_sound_type,recording,N,Workbook Sound type N,normal,exact,normal,exact,raw_sound_type.N,include,none,Data Aggregation,ready_after_schema_approval
kauh_fraiwan,mendeley_v3,record_sound_type,recording,E W,Workbook includes expiratory plus wheeze token,abnormal,exact,wheeze,lossy,raw_sound_type.E_W,include,"Preserve phase component E",Jingping,blocked_kauh_abbreviation_confirmation
kauh_fraiwan,mendeley_v3,record_sound_type,recording,I E W,Workbook includes inspiratory expiratory wheeze tokens,abnormal,exact,wheeze,lossy,raw_sound_type.I_E_W,include,"Preserve I/E phase components",Jingping,blocked_kauh_abbreviation_confirmation
kauh_fraiwan,mendeley_v3,record_sound_type,recording,C,Workbook sound token C,abnormal,exact,crackle,lossy,raw_sound_type.C,include,"Confirm C definition",Jingping,blocked_kauh_abbreviation_confirmation
kauh_fraiwan,mendeley_v3,record_sound_type,recording,Crep,Workbook token described as crepitations,abnormal,exact,crackle,lossy,raw_sound_type.Crep,include,"Keep distinct from C until confirmed",Jingping,blocked_kauh_abbreviation_confirmation
kauh_fraiwan,mendeley_v3,record_sound_type,recording,I C,Workbook includes inspiratory plus C token,abnormal,exact,crackle,lossy,raw_sound_type.I_C,include,"Preserve phase component I",Jingping,blocked_kauh_abbreviation_confirmation
kauh_fraiwan,mendeley_v3,record_sound_type,recording,I C E W,Workbook includes I/C/E/W tokens,abnormal,exact,both,lossy,raw_sound_type.I_C_E_W,include,"Confirm token semantics before overlay",Jingping,blocked_kauh_abbreviation_confirmation
kauh_fraiwan,mendeley_v3,record_sound_type,recording,I C B,Workbook raw token contains unresolved B,abnormal,lossy,null,unresolved,raw_sound_type.I_C_B,dataset_specific_only,"Map after B is source-confirmed",Jingping,blocked_kauh_abbreviation_confirmation
kauh_fraiwan,mendeley_v3,record_sound_type,recording,Bronchial,Workbook raw sound type Bronchial,abnormal,lossy,other_abnormal,lossy,raw_sound_type.Bronchial,include_other_abnormal,"Exclude from shared overlay",Jingping,blocked_other_abnormal_policy
kauh_fraiwan,mendeley_v3,patient_diagnosis,patient,Diagnosis column,Separate patient-level disease labels,not_applicable,not_applicable,not_applicable,not_applicable,patient_diagnosis.raw,dataset_specific_only,"Do not merge with sound/event targets",Jingping and Project Management,blocked_disease_scope
