"row_id","source_level","work","year","comparator_type","source_domain","target_domain","training_or_selection_data","evaluation_data","unit_label_space","metric","source_or_reference_value","target_or_transfer_value","gap_definition","gap_value","what_it_answers","usable_for_our_narrative","claim_boundary","evidence_url"
"LUNG-001","source_fact","LungMix Table I - AST w/o Mixup","2025","source model on source test","ICBHI","ICBHI","ICBHI official train","ICBHI official test","ICBHI-style four class; cycle source","ICBHI Score","52.88","","","", "Source baseline for same row","Shows source performance alone is not enough","Paper table; checkpoint selection scripts unavailable","https://arxiv.org/abs/2501.00064"
"LUNG-002","source_fact","LungMix Table I - AST w/o Mixup","2025","same frozen source model on target","ICBHI","SPRSound","ICBHI official train","SPRSound official test","Unified four class; SPRSound event target; Rhonchus/Stridor->Wheeze","ICBHI Score","52.88","65.48","raw source-to-target difference","-12.60","Shows raw target Score can be higher than source Score","Use to argue against raw source-target subtraction","Source-target row, but COMB selection caveat in paper discussion","https://arxiv.org/abs/2501.00064"
"LUNG-003","source_fact","LungMix Table I - AST w/o Mixup","2025","target-trained same architecture/reference","SPRSound","SPRSound","SPRSound official train","SPRSound official test","Unified four class; event target","ICBHI Score","80.44","","target-trained reference for LUNG-002","14.96 vs ICBHI->SPR transfer","Answers how much SPRSound performance is lost relative to target-trained model","Primary pattern for our degradation definition","Target-trained is not zero-shot","https://arxiv.org/abs/2501.00064"
"LUNG-004","paper_inference","LungMix Table I - Patch-mix","2025","target-reference gap","ICBHI","SPRSound","ICBHI official train vs SPRSound official train","SPRSound official test","Unified four class; event target; lossy broad mapping","ICBHI Score","80.76 target-trained SPR","61.76 ICBHI->SPR","target-trained SPR - ICBHI->SPR","19.00","Shows degradation as target-reference gap, not source-target raw drop","Closest numeric analogy for Patch-Mix transfer planning","LungMix Patch-mix is not necessarily identical to our author checkpoint protocol","https://arxiv.org/abs/2501.00064"
"LUNG-005","paper_inference","LungMix Table I - LungMix + Patch-mix","2025","DG method/reference gap","ICBHI","SPRSound","ICBHI official train vs SPRSound official train","SPRSound official test","Unified four class; event target; lossy broad mapping","ICBHI Score","79.06 target-trained SPR","66.65 ICBHI->SPR","target-trained SPR - ICBHI->SPR","12.41","Shows a DG/mixup method can reduce but not remove target-reference gap","Useful related-method comparison","Not our baseline; repo lacks full pipeline","https://arxiv.org/abs/2501.00064"
"LUNG-006","paper_inference","LungMix Table I - Patch-mix HF target","2025","target-reference gap","ICBHI","HF","ICBHI official train vs HF official train","HF official test","Unified four class; HF lacks both-class annotation","ICBHI Score","72.03 target-trained HF","59.48 ICBHI->HF","target-trained HF - ICBHI->HF","12.55","Shows gap persists beyond SPRSound","Secondary evidence only","HF label ontology differs and lacks both co-occurrence","https://arxiv.org/abs/2501.00064"
"BTS-001","source_fact","BTS-CARD Table 2 - Patch-Mix CL","2026","IND vs OOD same method","ICBHI","SPRSound","ICBHI IND training/eval framework","ICBHI IND and SPRSound OOD","Broad ICBHI-style four class; Stridor/Rhonchi->Wheeze","ICBHI Score","62.37 IND","51.01 OOD","IND - OOD","11.36","Published close evidence that strong ICBHI method drops on SPRSound OOD","Useful expected scale for our exploratory result","Not target-trained reference; uses paper's OOD mapping/protocol","https://arxiv.org/abs/2510.22263"
"BTS-002","source_fact","BTS-CARD Table 2 - Audio-CLAP","2026","IND vs OOD same method","ICBHI","SPRSound","ICBHI IND training/eval framework","ICBHI IND and SPRSound OOD","Broad ICBHI-style four class; metadata text framework paper context","ICBHI Score","62.56 IND","56.29 OOD","IND - OOD","6.27","Shows a stronger representation may reduce OOD drop","Related foundation/reference comparator","Not audio-only Patch-Mix protocol","https://arxiv.org/abs/2510.22263"
"BTS-003","source_fact","BTS-CARD Table 2 - BTS-CARD","2026","DG/adaptation method","ICBHI","SPRSound","ICBHI plus metadata/debiasing framework","ICBHI IND and SPRSound OOD","Broad ICBHI-style four class; metadata/device/location debiasing","ICBHI Score","64.63+-0.57 IND","61.96+-1.50 OOD","IND - OOD","2.67","Shows metadata/debiasing can reduce OOD gap","Near-direct framing threat; useful upper/method comparator","Not zero-target-tuning audio-only; uses metadata and debiasing","https://arxiv.org/abs/2510.22263"
"SPR-001","source_fact","SPRSound TBioCAS Table V - Task 1-1","2022","target-native vs pooled/fusion","SPRSound/ICBHI/fusion","SPRSound and ICBHI native/fusion","Native/fusion train sets","Inter-patient tests","Task 1-1 event binary","Score","77.42 SPRSound native; 53.00 ICBHI; 61.55 fusion","","fusion relative to target-native","15.87 below SPRSound native","Shows pooled/fusion is not automatically upper bound","Use to avoid treating pooled as clean target upper","Fusion merges train/test portions respectively; not source-only transfer","https://doi.org/10.1109/TBCAS.2022.3204910"
"SPR-002","source_fact","SPRSound TBioCAS Table V - Task 1-2","2022","target-native vs pooled/fusion","SPRSound/ICBHI/fusion","SPRSound and ICBHI native/fusion","Native/fusion train sets","Inter-patient tests","Task 1-2 event multiclass","Score","63.61 SPRSound native; 38.65 ICBHI; 42.78 fusion","","fusion relative to target-native","20.83 below SPRSound native","Shows label/task fusion can still underperform target-native","Supports label/unit mismatch narrative","Fusion label space has 6 classes; not our narrow four-class transfer","https://doi.org/10.1109/TBCAS.2022.3204910"
"OPERA-001","source_fact","OPERA Appendix Table 13 - T7->T10","2024","cross-domain zero-shot linear probe","ICBHI T7 COPD/healthy","KAUH T10 obstructive disease vs healthy","Linear probe trained on source task","Target task test","Disease-level task, not event RSC","AUROC","OPERA-CT source-trained probe","0.823+-0.001 on T7->T10","target AUROC only","not applicable","Shows a clean source-probe to target-task comparison pattern","Comparison-design reference only","Not ICBHI cycle four-class to SPRSound event","https://arxiv.org/abs/2406.16148"
"OURS-001","our_proposed_policy","Patch-Mix author checkpoint - source alignment","2026","source model on source test","ICBHI","ICBHI","Author-posted checkpoint selected on ICBHI official test","ICBHI official test","ICBHI cycle four class","ICBHI Score / Sp / Se","62.1708 / 86.1938 / 38.1478","","absolute gap vs author posted Score 62.17","0.0008","Proves checkpoint loader/preprocessing align with author-posted result","Required first row before target transfer","Exploratory author checkpoint; test-selected; not clean source anchor","result/patch_mix_cl_author_checkpoint_20260722_154852/icbhi/metrics.json"
"OURS-002","our_proposed_policy","Patch-Mix author checkpoint -> SPRSound inter","2026","same frozen source model on target","ICBHI","SPRSound BioCAS2022 inter","Same frozen author checkpoint; no target tuning","SPRSound inter event boundaries; labels final scoring only","ICBHI-cycle source -> SPRSound-event target; binary broad + narrow four-class","Sp/Se/Score, UAR, macro F1, confusion, coverage","source alignment from OURS-001","TBD","target-reference gap once C0 exists","TBD","First exploratory cross-dataset evidence","Must run first target row","Cannot support clean generalization because source checkpoint test-selected","baseline/patch_mix_cl/checkpoint_eval/run_sprsound_checkpoint_transfer.py"
"OURS-003","our_proposed_policy","SPRSound trivial floor","2026","simple/majority/chance baseline","none","SPRSound BioCAS2022 inter","No model","Same target subset as OURS-002","Binary broad and narrow four-class separately","ICBHI Score/UAR/accuracy","binary all-normal ICBHI Score floor approx 50","TBD exact on target subset","transfer - trivial floor","TBD","Detects prevalence artifacts and collapse","Required","Accuracy must not be used alone","BTS-CARD Table 1 for SPRSound OOD prevalence; local SPRSound receipt"
"OURS-004","our_proposed_policy","Target-trained same architecture reference","2026","target-trained same architecture/reference","SPRSound BioCAS2022 train","SPRSound BioCAS2022 inter","SPRSound train2022 labels, patient-grouped validation inside train if needed","SPRSound inter events","Same target unit/coverage as OURS-002","Sp/Se/Score, UAR, macro F1, confusion","TBD target-trained reference","TBD","target-trained reference - source transfer","TBD","Answers whether target task is learnable and quantifies degradation","Required before strong degradation claim","Not zero-shot and must be separated from transfer","proposed"
"OURS-005","our_proposed_policy","Clean-source Patch-Mix checkpoint","2026","clean source anchor repeat","ICBHI","ICBHI and SPRSound","ICBHI official train only; checkpoint selected by source-internal validation","ICBHI official test and SPRSound inter","Same as OURS-001/002","Same metric bundle","TBD","TBD","clean-source target gap","TBD","Turns exploratory result into publishable source-only evidence","Required for paper claim","Requires retraining/selection; not done in this audit","proposed"
